,Variable,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2021-2030,SS
0,GDP ($Y_t$),-2.2802058472748516,-2.216645501489693,-2.1612579413711157,-2.118831477574397,-2.0834375209314064,-2.0444653412891434,-2.0180724021670837,-1.9905454818310593,-1.973268702463088,-1.9561890079706534,-2.0888411996127507,-1.8874097018899356
1,Consumption ($C_t$),-1.1967092377198258,-0.9278337996157118,-1.259150672265317,-1.3763555322053354,-1.4383097039909027,-1.4813575924675448,-1.509618536523854,-1.5329552224269563,-1.5493210818533536,-1.562978137262059,-1.3812401714179139,-1.7878623297136478
2,Capital Stock ($K_t$),-3.6144763073932857,-3.550983416899357,-3.495900577327719,-3.4526798837000263,-3.415933389452456,-3.3748039137636567,-3.346503582481134,-3.3107403158017865,-3.29163650631132,-3.2723875480016815,-3.417494846381409,-3.2457378715571235
3,Labor ($L_t$),-0.15613595121249174,-0.092490787473053,-0.03663082662561362,0.004492518329524452,0.037681632090157506,0.07314407883937635,0.09643717696986617,0.1106137400221067,0.12492528754300525,0.13848583856891405,0.02607760124575182,0.2754953283617305
4,Real interest rate ($r_t$),-0.13872656303181513,-0.14036206853942565,-0.14119734837624362,-0.1440735091336979,-0.14792499488701794,-0.15330862952215493,-0.1581595715726801,-0.17417513756973457,-0.17911665022676673,-0.18466630393593803,-0.15614915507047683,-0.09867353258507035
5,Wage rate,-2.1273747695917984,-2.1261050593175947,-2.125395837340745,-2.123220982382125,-2.1203136777598033,-2.116055793747886,-2.1124668313039883,-2.098832145505846,-2.095570971102325,-2.091773200493337,-2.1136981048388095,-2.1569625592421113
